Department,text,Subtype
Human Resources Management Department (PAR),Requesting help with service register entry missing.,Service Register Entry Missing
Energy Department (ENERGY),Complaint against ENERGY for meter fault / replacement.,Meter Fault / Replacement
Finance Department (FIN),Problem faced: pension disbursement delay.,Pension Disbursement Delay
Finance Department (FIN),Requesting help with retired employee benefits.,Retired Employee Benefits
Law Department (LAW),Problem faced: government pleader issue.,Government Pleader Issue
Social Welfare and Women Empowerment Department (SWNM),Problem faced: widow pension.,Widow Pension
Micro Small and Medium Enterprises Department (MSME),Industrial Shed Allotment issue,Industrial Shed Allotment
Municipal Administration and Water Supply Department (MAWS),Garbage Not Collected,Garbage Not Collected
Legislative Assembly Department (LEGIS),Please look into this assembly proceedings query matter.,Assembly Proceedings Query
Municipal Administration and Water Supply Department (MAWS),Complaint against MAWS for road damage.,Road Damage
Housing and Urban Development Department (HUD),Requesting help with unapproved layout plot.,Unapproved Layout Plot
Environment Climate Change and Forests Department (ENVFOR),Complaint regarding Plastic Waste Ban Violation,Plastic Waste Ban Violation
Welfare of Differently Abled Persons (DIFFABLE),Disability ID Card,Disability ID Card
Rural Development and Panchayat Raj Department (RDPR),Complaint against RDPR for village road damaged.,Village Road Damaged
Public Department (PUBLIC),Freedom Fighter Pension issue,Freedom Fighter Pension
Co-operation Food and Consumer Protection Department (FOODCO),I have a complaint regarding ration shop closed.,Ration Shop Closed
BC MBC and Minorities Welfare Department (BCMBC),Please look into this narikkuravar welfare board matter.,Narikkuravar Welfare Board
Law Department (LAW),Legal Aid Request issue,Legal Aid Request
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Problem faced: handicraft artisan loan.,Handicraft Artisan Loan
Highways and Minor Ports Department (HWY),Please look into this toll plaza excess fee matter.,Toll Plaza Excess Fee
Housing and Urban Development Department (HUD),Report on rental dispute.,Rental Dispute
BC MBC and Minorities Welfare Department (BCMBC),We are suffering due to ulema pension scheme.,Ulema Pension Scheme
Youth Welfare and Sports Development Department (YOUTHSP),My grievance is about stadium booking.,Stadium Booking
Revenue and Disaster Management Department (REV),Income/Community Certificate,Income/Community Certificate
Municipal Administration and Water Supply Department (MAWS),My grievance is about garbage not collected.,Garbage Not Collected
Planning Development Department (PLGDEV),We are suffering due to sdg goals monitoring.,SDG Goals Monitoring
BC MBC and Minorities Welfare Department (BCMBC),Please look into this scholarship - bc/mbc matter.,Scholarship - BC/MBC
Public Elections Department (ELECTION),Voter ID Card Not Received,Voter ID Card Not Received
Co-operation Food and Consumer Protection Department (FOODCO),"Issue with co-operative loan issue, please resolve.",Co-operative Loan Issue
Environment Climate Change and Forests Department (ENVFOR),Please look into this industrial pollution matter.,Industrial Pollution
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Report on handicraft artisan loan.,Handicraft Artisan Loan
Home Prohibition and Excise Department (HOMEEXC),Urgent action needed on prison inmate welfare.,Prison Inmate Welfare
Finance Department (FIN),We are suffering due to government employee salary issue.,Government Employee Salary Issue
Highways and Minor Ports Department (HWY),We are suffering due to bridge construction delay.,Bridge Construction Delay
Co-operation Food and Consumer Protection Department (FOODCO),Problem faced: weight measurement fraud.,Weight Measurement Fraud
Public Department (PUBLIC),Chief Minister's Special Cell issue,Chief Minister's Special Cell
Commercial Taxes and Registration Department (CTREG),Guide Value Query issue,Guide Value Query
Planning Development Department (PLGDEV),Urgent action needed on statistics data request.,Statistics Data Request
Finance Department (FIN),Complaint against FIN for retired employee benefits.,Retired Employee Benefits
Health and Family Welfare Department (HEALTH),108 Ambulance Delay issue,108 Ambulance Delay
Social Welfare and Women Empowerment Department (SWNM),"Issue with domestic violence helpline, please resolve.",Domestic Violence Helpline
Transport Department (TRANS),Requesting help with bus pass issue.,Bus Pass Issue
Transport Department (TRANS),Complaint against TRANS for bus pass issue.,Bus Pass Issue
Energy Department (ENERGY),My grievance is about new connection delay.,New Connection Delay
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Urgent action needed on fishing ban relief.,Fishing Ban Relief
Human Resources Management Department (PAR),Urgent action needed on compassionate appointment delay.,Compassionate Appointment Delay
Special Programme Implementation (SPI),Requesting help with announcement implementation.,Announcement Implementation
Co-operation Food and Consumer Protection Department (FOODCO),Ration Rice Quality,Ration Rice Quality
Health and Family Welfare Department (HEALTH),Problem faced: sanitation in hospital.,Sanitation in Hospital
Labour Welfare and Skill Development Department (LBREMP),I have a complaint regarding minimum wages violation.,Minimum Wages Violation
Youth Welfare and Sports Development Department (YOUTHSP),Report on sports scholarship.,Sports Scholarship
Youth Welfare and Sports Development Department (YOUTHSP),Requesting help with sports kit request.,Sports Kit Request
Municipal Administration and Water Supply Department (MAWS),Please look into this road damage matter.,Road Damage
Energy Department (ENERGY),Complaint regarding New Connection Delay,New Connection Delay
Public Works Department (PWD),Requesting help with lake encroachment.,Lake Encroachment
Law Department (LAW),Complaint regarding Government Pleader Issue,Government Pleader Issue
Environment Climate Change and Forests Department (ENVFOR),Urgent action needed on industrial pollution.,Industrial Pollution
Rural Development and Panchayat Raj Department (RDPR),Requesting help with village water tank cleaning.,Village Water Tank Cleaning
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Milk Procurement Price issue,Milk Procurement Price
Law Department (LAW),Legal Aid Request,Legal Aid Request
Legislative Assembly Department (LEGIS),Complaint regarding Petition to Assembly Committee,Petition to Assembly Committee
Water Resources Department (WRD),Canal Encroachment,Canal Encroachment
Municipal Administration and Water Supply Department (MAWS),"Issue with property tax issue, please resolve.",Property Tax Issue
Water Resources Department (WRD),Urgent action needed on water release for farming.,Water Release for Farming
Finance Department (FIN),Problem faced: treasury bill pending.,Treasury Bill Pending
School Education Department (SCHOOL),Please look into this teacher absenteeism matter.,Teacher Absenteeism
Planning Development Department (PLGDEV),We are suffering due to statistics data request.,Statistics Data Request
Housing and Urban Development Department (HUD),Complaint against HUD for unapproved layout plot.,Unapproved Layout Plot
Revenue and Disaster Management Department (REV),Complaint against REV for old age pension (oap).,Old Age Pension (OAP)
Energy Department (ENERGY),Report on transformer sparking/fire.,Transformer Sparking/Fire
School Education Department (SCHOOL),Complaint regarding Mid-day Meal Scheme,Mid-day Meal Scheme
Finance Department (FIN),Report on gpf/cps settlement.,GPF/CPS Settlement
Labour Welfare and Skill Development Department (LBREMP),We are suffering due to skill training application.,Skill Training Application
Law Department (LAW),Report on notary public complaint.,Notary Public Complaint
Finance Department (FIN),Please look into this pension disbursement delay matter.,Pension Disbursement Delay
Youth Welfare and Sports Development Department (YOUTHSP),Complaint regarding Playground Maintenance,Playground Maintenance
Environment Climate Change and Forests Department (ENVFOR),Forest Fire Reporting,Forest Fire Reporting
BC MBC and Minorities Welfare Department (BCMBC),Ulema Pension Scheme issue,Ulema Pension Scheme
Law Department (LAW),Complaint regarding Court Case Pending,Court Case Pending
Public Department (PUBLIC),Ex-Servicemen Welfare,Ex-Servicemen Welfare
Planning Development Department (PLGDEV),"Issue with statistics data request, please resolve.",Statistics Data Request
Special Programme Implementation (SPI),We are suffering due to flagship project delay.,Flagship Project Delay
Rural Development and Panchayat Raj Department (RDPR),Village Water Tank Cleaning,Village Water Tank Cleaning
Special Programme Implementation (SPI),I have a complaint regarding scheme monitoring.,Scheme Monitoring
Legislative Assembly Department (LEGIS),"Issue with petition to assembly committee, please resolve.",Petition to Assembly Committee
Municipal Administration and Water Supply Department (MAWS),My grievance is about drainage blockage.,Drainage Blockage
Public Elections Department (ELECTION),Problem faced: polling booth complaint.,Polling Booth Complaint
Agriculture and Farmers welfares Department (AGRI),Requesting help with pest attack support.,Pest Attack Support
Law Department (LAW),"Issue with legal aid request, please resolve.",Legal Aid Request
